open_time,open,high,low,close,volume
2020-01-01 00:00:00+00:00,0.19287,0.19866,0.1919,0.19301,568474.4
2020-01-02 00:00:00+00:00,0.19282,0.19296,0.18644,0.18762,124152.7
2020-01-03 00:00:00+00:00,0.18703,0.19376,0.18482,0.1932,183712.9
2020-01-04 00:00:00+00:00,0.19337,0.19361,0.19155,0.19277,96464.2
2020-01-05 00:00:00+00:00,0.19376,0.19718,0.19376,0.19462,168050.5
2020-01-06 00:00:00+00:00,0.19483,0.22396,0.19483,0.22264,894064.7
2020-01-07 00:00:00+00:00,0.22364,0.22451,0.20744,0.21381,1809468.4
2020-01-08 00:00:00+00:00,0.21335,0.21767,0.20332,0.20785,672327.3
2020-01-09 00:00:00+00:00,0.20761,0.20855,0.20137,0.2041,192888.0
2020-01-10 00:00:00+00:00,0.20425,0.21155,0.20039,0.21154,284672.7
2020-01-11 00:00:00+00:00,0.21242,0.21965,0.20918,0.21184,449050.7
2020-01-12 00:00:00+00:00,0.21123,0.21648,0.20974,0.21465,153301.1
2020-01-13 00:00:00+00:00,0.21456,0.21456,0.2102,0.21162,321499.5
2020-01-14 00:00:00+00:00,0.21176,0.24552,0.21176,0.23507,1217121.0
2020-01-15 00:00:00+00:00,0.23473,0.24294,0.22653,0.23283,1584620.4
2020-01-16 00:00:00+00:00,0.23448,0.23448,0.22177,0.22912,422937.1
2020-01-17 00:00:00+00:00,0.2293,0.24446,0.22697,0.24004,602884.1
2020-01-18 00:00:00+00:00,0.2384,0.25396,0.23183,0.24388,1255452.5
2020-01-19 00:00:00+00:00,0.24328,0.25134,0.22733,0.23644,581136.7
2020-01-20 00:00:00+00:00,0.23575,0.23582,0.225,0.2332,424274.8
2020-01-21 00:00:00+00:00,0.2332,0.24181,0.23035,0.23749,539954.7
2020-01-22 00:00:00+00:00,0.23772,0.23877,0.23322,0.23706,274623.3
2020-01-23 00:00:00+00:00,0.23684,0.23684,0.22149,0.22597,423010.6
2020-01-24 00:00:00+00:00,0.22597,0.22632,0.21378,0.22202,400000.4
2020-01-25 00:00:00+00:00,0.22224,0.22256,0.21676,0.22074,206444.5
2020-01-26 00:00:00+00:00,0.21906,0.23216,0.21834,0.23125,201993.3
2020-01-27 00:00:00+00:00,0.23145,0.2339,0.22664,0.23118,231705.0
2020-01-28 00:00:00+00:00,0.2308,0.24196,0.23061,0.23933,466584.8
2020-01-29 00:00:00+00:00,0.23926,0.24181,0.23454,0.23507,453812.1
2020-01-30 00:00:00+00:00,0.23481,0.24611,0.23106,0.24357,473427.8
2020-01-31 00:00:00+00:00,0.24348,0.24482,0.23389,0.23906,685602.7
2020-02-01 00:00:00+00:00,0.23974,0.24328,0.23715,0.24125,386608.9
2020-02-02 00:00:00+00:00,0.24138,0.26127,0.23603,0.251,595558.5
2020-02-03 00:00:00+00:00,0.251,0.25942,0.24712,0.25501,611637.2
2020-02-04 00:00:00+00:00,0.25462,0.27101,0.24774,0.26665,1143054.8
2020-02-05 00:00:00+00:00,0.26751,0.28268,0.26751,0.27805,3089933.9
2020-02-06 00:00:00+00:00,0.27822,0.28828,0.26855,0.28345,1606099.8
2020-02-07 00:00:00+00:00,0.28343,0.28824,0.27725,0.27988,1338306.2
2020-02-08 00:00:00+00:00,0.27918,0.28196,0.26519,0.27762,779854.4
2020-02-09 00:00:00+00:00,0.27739,0.28908,0.27719,0.28278,1059236.4
2020-02-10 00:00:00+00:00,0.28278,0.28327,0.2697,0.27387,546282.3
2020-02-11 00:00:00+00:00,0.2736,0.28329,0.26757,0.2815,578315.6
2020-02-12 00:00:00+00:00,0.28144,0.30943,0.28012,0.30472,1098628.2
2020-02-13 00:00:00+00:00,0.30407,0.33948,0.30075,0.32667,3527757.6
2020-02-14 00:00:00+00:00,0.33004,0.33896,0.31066,0.33615,1027372.9
2020-02-15 00:00:00+00:00,0.33711,0.34664,0.29868,0.30759,2282513.0
2020-02-16 00:00:00+00:00,0.30637,0.31908,0.27937,0.29297,1920842.6
2020-02-17 00:00:00+00:00,0.29225,0.29482,0.26942,0.28723,1827663.6
2020-02-18 00:00:00+00:00,0.28732,0.30262,0.2753,0.29783,2293774.7
2020-02-19 00:00:00+00:00,0.2983,0.30804,0.265,0.27482,2728424.1
2020-02-20 00:00:00+00:00,0.27483,0.28147,0.26049,0.27146,1230122.4
2020-02-21 00:00:00+00:00,0.27076,0.27858,0.26907,0.27371,325606.0
2020-02-22 00:00:00+00:00,0.27469,0.2778,0.27056,0.27544,270932.5
2020-02-23 00:00:00+00:00,0.27503,0.28419,0.27503,0.28355,416027.1
2020-02-24 00:00:00+00:00,0.28242,0.284,0.26437,0.2684,386742.4
2020-02-25 00:00:00+00:00,0.27048,0.27048,0.25111,0.25215,375708.7
2020-02-26 00:00:00+00:00,0.25169,0.25438,0.22289,0.22955,1468315.5
2020-02-27 00:00:00+00:00,0.22886,0.24706,0.224,0.23689,853240.5
2020-02-28 00:00:00+00:00,0.23878,0.24384,0.22863,0.2367,832824.8
2020-02-29 00:00:00+00:00,0.23955,0.24211,0.22884,0.22929,370334.8
2020-03-01 00:00:00+00:00,0.23096,0.2357,0.22469,0.228,476498.7
2020-03-02 00:00:00+00:00,0.22697,0.24133,0.22616,0.23929,465315.9
2020-03-03 00:00:00+00:00,0.23846,0.23875,0.22942,0.23404,679408.8
2020-03-04 00:00:00+00:00,0.2343,0.23817,0.2303,0.23445,491380.2
2020-03-05 00:00:00+00:00,0.23494,0.24303,0.23494,0.23886,713777.5
2020-03-06 00:00:00+00:00,0.239,0.24643,0.23846,0.24492,610724.2
2020-03-07 00:00:00+00:00,0.24539,0.24539,0.23519,0.2361,607037.9
2020-03-08 00:00:00+00:00,0.2361,0.2361,0.1997,0.20322,1907580.7
2020-03-09 00:00:00+00:00,0.20411,0.21154,0.19822,0.20962,927975.2
2020-03-10 00:00:00+00:00,0.20954,0.21579,0.20605,0.21155,399171.1
2020-03-11 00:00:00+00:00,0.21294,0.21306,0.19938,0.20853,356987.5
2020-03-12 00:00:00+00:00,0.20918,0.20918,0.07074,0.13576,5760028.7
2020-03-13 00:00:00+00:00,0.1358,0.24,0.10535,0.15846,6105337.4
2020-03-14 00:00:00+00:00,0.15719,0.15959,0.1441,0.14625,631415.2
2020-03-15 00:00:00+00:00,0.14718,0.16907,0.14517,0.15382,1221301.9
2020-03-16 00:00:00+00:00,0.15118,0.15289,0.12855,0.14029,2606036.2
